date,number
2021-01-01,412
2021-01-02,648
2021-01-03,707
2021-01-04,1006
2021-01-05,1198
2021-01-06,565
2021-01-07,1432
2021-01-08,1595
2021-01-09,864
2021-01-10,663
2021-01-11,1673
2021-01-12,1503
2021-01-13,1517
2021-01-14,1320
2021-01-15,1315
2021-01-16,502
2021-01-17,440
2021-01-18,1044
2021-01-19,1556
2021-01-20,1963
2021-01-21,1759
2021-01-22,1822
2021-01-23,757
2021-01-24,889
2021-01-25,1836
2021-01-26,1650
2021-01-27,1566
2021-01-28,1468
2021-01-29,1119
2021-01-30,796
2021-01-31,800
2021-02-01,1686
2021-02-02,1667
2021-02-03,1587
2021-02-04,1890
2021-02-05,1928
2021-02-06,755
2021-02-07,450
2021-02-08,1588
2021-02-09,1742
2021-02-10,1400
2021-02-11,1007
2021-02-12,1108
2021-02-13,634
2021-02-14,685
2021-02-15,1540
2021-02-16,1042
2021-02-17,1488
2021-02-18,2283
2021-02-19,1871
2021-02-20,1050
2021-02-21,862
2021-02-22,1982
2021-02-23,2522
2021-02-24,2763
2021-02-25,2818
2021-02-26,2834
2021-02-27,1232
2021-02-28,1480
2021-03-01,2437
2021-03-02,2769
2021-03-03,2908
2021-03-04,2844
2021-03-05,1149
2021-03-06,1436
2021-03-07,1477
2021-03-08,2422
2021-03-09,2350
2021-03-10,2481
2021-03-11,2408
2021-03-12,2558
2021-03-13,1679
2021-03-14,761
2021-03-15,2409
2021-03-16,2136
2021-03-17,2395
2021-03-18,2385
2021-03-19,1685
2021-03-20,1051
2021-03-21,648
2021-03-22,2061
2021-03-23,2241
2021-03-24,2496
2021-03-25,3250
2021-03-26,3319
2021-03-27,2069
2021-03-28,1938
2021-03-29,2774
2021-03-30,3585
2021-03-31,3746
2021-04-01,2882
2021-04-02,1915
2021-04-03,838
2021-04-04,908
2021-04-05,2030
2021-04-06,1519
2021-04-07,1548
2021-04-08,1785
2021-04-09,2732
2021-04-10,2845
2021-04-11,2386
2021-04-12,2169
2021-04-13,1037
2021-04-14,1866
2021-04-15,2186
2021-04-16,2119
2021-04-17,1303
2021-04-18,1202
2021-04-19,1811
2021-04-20,2326
2021-04-21,3525
2021-04-22,2475
2021-04-23,3069
2021-04-24,2756
2021-04-25,2401
2021-04-26,3091
2021-04-27,3201
2021-04-28,3497
2021-04-29,3502
2021-04-30,2928
2021-05-01,2859
2021-05-02,806
2021-05-03,3160
2021-05-04,4246
2021-05-05,2607
2021-05-06,3349
2021-05-07,2444
2021-05-08,2670
2021-05-09,2551
2021-05-10,4270
2021-05-11,4680
2021-05-12,2126
2021-05-13,694
2021-05-14,2168
2021-05-15,2031
2021-05-16,2452
2021-05-17,1759
2021-05-18,3293
2021-05-19,2897
2021-05-20,3220
2021-05-21,3847
2021-05-22,1554
2021-05-23,1090
2021-05-24,1312
2021-05-25,2526
2021-05-26,4632
2021-05-27,3173
2021-05-28,3886
2021-05-29,2779
2021-05-30,2122
2021-05-31,3930
2021-06-01,4699
2021-06-02,4694
2021-06-03,3342
2021-06-04,3752
2021-06-05,2897
2021-06-06,2357
2021-06-07,4727
2021-06-08,5075
2021-06-09,5241
2021-06-10,4958
2021-06-11,4094
2021-06-12,2888
2021-06-13,2650
2021-06-14,4693
2021-06-15,5231
2021-06-16,5252
2021-06-17,5076
2021-06-18,4481
2021-06-19,2907
2021-06-20,2656
2021-06-21,4396
2021-06-22,4776
2021-06-23,4923
2021-06-24,4394
2021-06-25,4061
2021-06-26,3103
2021-06-27,2905
2021-06-28,4542
2021-06-29,4844
2021-06-30,4318
2021-07-01,4563
2021-07-02,3681
2021-07-03,2887
2021-07-04,2672
2021-07-05,4241
2021-07-06,4899
2021-07-07,4558
2021-07-08,4205
2021-07-09,3630
2021-07-10,2729
2021-07-11,1918
2021-07-12,4000
2021-07-13,3823
2021-07-14,2939
2021-07-15,3820
2021-07-16,3743
2021-07-17,1267
2021-07-18,1540
2021-07-19,4162
2021-07-20,4112
2021-07-21,4161
2021-07-22,4249
2021-07-23,3779
2021-07-24,2648
2021-07-25,2287
2021-07-26,4091
2021-07-27,4519
2021-07-28,4012
2021-07-29,4384
2021-07-30,3725
2021-07-31,2409
2021-08-01,1084
2021-08-02,3975
2021-08-03,4459
2021-08-04,4022
2021-08-05,1881
2021-08-06,3307
2021-08-07,2788
2021-08-08,2254
2021-08-09,4310
2021-08-10,4620
2021-08-11,4776
2021-08-12,4620
2021-08-13,3947
2021-08-14,2583
2021-08-15,2396
2021-08-16,2921
2021-08-17,3627
2021-08-18,4070
2021-08-19,4266
2021-08-20,3975
2021-08-21,2851
2021-08-22,2640
2021-08-23,3075
2021-08-24,3338
2021-08-25,4188
2021-08-26,3091
2021-08-27,2983
2021-08-28,2139
2021-08-29,1969
2021-08-30,3899
2021-08-31,3257
2021-09-01,4153
2021-09-02,4569
2021-09-03,4209
2021-09-04,2803
2021-09-05,2593
2021-09-06,4526
2021-09-07,4896
2021-09-08,5033
2021-09-09,4783
2021-09-10,4306
2021-09-11,3080
2021-09-12,2724
2021-09-13,4867
2021-09-14,5168
2021-09-15,5159
2021-09-16,4493
2021-09-17,3507
2021-09-18,1919
2021-09-19,2247
2021-09-20,4085
2021-09-21,4515
2021-09-22,2584
2021-09-23,4513
2021-09-24,3697
2021-09-25,3132
2021-09-26,2716
2021-09-27,2926
2021-09-28,4280
2021-09-29,4359
2021-09-30,4486
2021-10-01,4112
2021-10-02,2548
2021-10-03,2577
2021-10-04,4867
2021-10-05,5124
2021-10-06,2963
2021-10-07,2104
2021-10-08,3401
2021-10-09,2581
2021-10-10,1834
2021-10-11,3598
2021-10-12,3400
2021-10-13,2968
2021-10-14,3248
2021-10-15,3329
2021-10-16,2553
2021-10-17,2089
2021-10-18,3604
2021-10-19,3699
2021-10-20,3968
2021-10-21,3460
2021-10-22,3013
2021-10-23,2033
2021-10-24,1759
2021-10-25,2505
2021-10-26,1666
2021-10-27,3643
2021-10-28,3455
2021-10-29,2902
2021-10-30,1688
2021-10-31,1543
2021-11-01,1555
2021-11-02,2168
2021-11-03,3454
2021-11-04,3098
2021-11-05,3235
2021-11-06,1970
2021-11-07,1702
2021-11-08,3467
2021-11-09,3870
2021-11-10,3712
2021-11-11,3390
2021-11-12,2792
2021-11-13,1356
2021-11-14,1238
2021-11-15,2866
2021-11-16,3302
2021-11-17,3283
2021-11-18,3133
2021-11-19,2782
2021-11-20,1964
2021-11-21,1471
2021-11-22,2083
2021-11-23,2460
2021-11-24,2481
2021-11-25,2410
2021-11-26,767
2021-11-27,638
2021-11-28,506
2021-11-29,1905
2021-11-30,1681
2021-12-01,1928
2021-12-02,2171
2021-12-03,1916
2021-12-04,899
2021-12-05,631
2021-12-06,1871
2021-12-07,2065
2021-12-08,990
2021-12-09,596
2021-12-10,1130
2021-12-11,641
2021-12-12,747
2021-12-13,1984
2021-12-14,2523
2021-12-15,2538
2021-12-16,2539
2021-12-17,2236
2021-12-18,1228
2021-12-19,1087
2021-12-20,2143
2021-12-21,2193
2021-12-22,2007
2021-12-23,1461
2021-12-24,458
2021-12-25,238
2021-12-26,371
2021-12-27,821
2021-12-28,873
2021-12-29,801
2021-12-30,944
2021-12-31,1028
2022-01-01,704
2022-01-02,915
2022-01-03,1455
2022-01-04,1400
2022-01-05,1313
2022-01-06,826
2022-01-07,1342
2022-01-08,845
2022-01-09,705
2022-01-10,1979
2022-01-11,2137
2022-01-12,1979
2022-01-13,2225
2022-01-14,2091
2022-01-15,1262
2022-01-16,1040
2022-01-17,1493
2022-01-18,2297
2022-01-19,2352
2022-01-20,1838
2022-01-21,1489
2022-01-22,738
2022-01-23,489
2022-01-24,1505
2022-01-25,2028
2022-01-26,2145
2022-01-27,2233
2022-01-28,1795
2022-01-29,805
2022-01-30,804
2022-01-31,1874
2022-02-01,2186
2022-02-02,1878
2022-02-03,2367
2022-02-04,2064
2022-02-05,1052
2022-02-06,991
2022-02-07,1288
2022-02-08,1819
2022-02-09,2314
2022-02-10,2335
2022-02-11,1533
2022-02-12,1259
2022-02-13,1089
2022-02-14,2372
2022-02-15,2243
2022-02-16,2535
2022-02-17,2087
2022-02-18,2101
2022-02-19,1324
2022-02-20,1343
2022-02-21,2187
2022-02-22,2461
2022-02-23,2649
2022-02-24,2846
2022-02-25,2236
2022-02-26,1348
2022-02-27,1340
2022-02-28,2449
2022-03-01,2735
2022-03-02,2870
2022-03-03,2921
2022-03-04,2283
2022-03-05,1398
2022-03-06,1097
2022-03-07,2367
2022-03-08,2934
2022-03-09,2974
2022-03-10,3042
2022-03-11,2400
2022-03-12,1451
2022-03-13,1428
2022-03-14,3113
2022-03-15,3142
2022-03-16,2864
2022-03-17,3144
2022-03-18,2709
2022-03-19,1846
2022-03-20,1515
2022-03-21,3194
2022-03-22,3559
2022-03-23,3938
2022-03-24,3851
2022-03-25,3462
2022-03-26,2415
2022-03-27,2145
2022-03-28,3955
2022-03-29,4134
2022-03-30,3972
2022-03-31,1860
